customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,customer_age,customer_birth_year,customer_year_month_name,customer_month_num,postcode,state,property_valuation,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,trans_month_name,trans_month_num,trans_week_num,AgeGroup
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,50.0,1973.0,1973 March,03,2023.0,New South Wales,12.0,1.0,Solex,Standard,medium,medium,1577.53,826.51,40336.0,September,9.0,39,50-59
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,0.0,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,August,8.0,34,20-29
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,1.0,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,September,9.0,36,20-29
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,1.0,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,February,2.0,6,20-29
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,0.0,Solex,Standard,medium,medium,100.35,75.26,36367.0,July,7.0,29,20-29
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,0.0,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,August,8.0,34,20-29
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,1.0,Norco Bicycles,Road,high,large,774.53,464.72,37698.0,October,10.0,43,20-29
12,Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,29.0,1994.0,1994 July,07,4557.0,QLD,4.0,0.0,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455.0,September,9.0,37,20-29
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,0.0,Solex,Standard,medium,medium,1163.89,589.27,35378.0,February,2.0,7,60-69
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,1.0,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527.0,August,8.0,31,60-69
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,0.0,WeareA2B,Touring,medium,large,1362.99,57.74,37539.0,November,11.0,46,60-69
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,1.0,Solex,Standard,medium,large,1061.56,733.58,36146.0,March,3.0,9,60-69
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,1.0,Trek Bicycles,Standard,high,medium,495.72,297.43,41922.0,December,12.0,48,60-69
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,0.0,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0,January,1.0,1,60-69
13,Male,38.0,Developer I,Financial Services,High Net Worth,Yes,8.0,68.0,1955.0,1955 February,02,3799.0,VIC,6.0,1.0,Norco Bicycles,Road,medium,medium,544.05,376.84,42105.0,April,4.0,14,60-69
14,Female,85.0,Account Executive,Financial Services,Affluent Customer,No,6.0,40.0,1983.0,1983 March,03,2760.0,New South Wales,8.0,1.0,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,November,11.0,46,40-49
14,Female,85.0,Account Executive,Financial Services,Affluent Customer,No,6.0,40.0,1983.0,1983 March,03,2760.0,New South Wales,8.0,0.0,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,May,5.0,19,40-49
14,Female,85.0,Account Executive,Financial Services,Affluent Customer,No,6.0,40.0,1983.0,1983 March,03,2760.0,New South Wales,8.0,1.0,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0,October,10.0,43,40-49
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,No,1.0,23.0,2000.0,2000 July,07,2428.0,New South Wales,9.0,0.0,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,March,3.0,10,20-29
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,No,1.0,23.0,2000.0,2000 July,07,2428.0,New South Wales,9.0,0.0,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,July,7.0,30,20-29
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,No,1.0,23.0,2000.0,2000 July,07,2428.0,New South Wales,9.0,1.0,Solex,Road,medium,medium,416.98,312.74,35560.0,September,9.0,38,20-29
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,No,1.0,23.0,2000.0,2000 July,07,2428.0,New South Wales,9.0,1.0,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,June,6.0,23,20-29
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,No,1.0,23.0,2000.0,2000 July,07,2428.0,New South Wales,9.0,0.0,Solex,Standard,medium,medium,71.49,53.62,41245.0,January,1.0,3,20-29
15,Male,91.0,Junior Executive,Manufacturing,Mass Customer,No,1.0,23.0,2000.0,2000 July,07,2428.0,New South Wales,9.0,1.0,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,November,11.0,47,20-29
19,Female,76.0,Geological Engineer,Manufacturing,High Net Worth,No,1.0,22.0,2001.0,2001 April,04,2233.0,New South Wales,9.0,0.0,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,January,1.0,5,20-29
19,Female,76.0,Geological Engineer,Manufacturing,High Net Worth,No,1.0,22.0,2001.0,2001 April,04,2233.0,New South Wales,9.0,0.0,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,March,3.0,12,20-29
20,Male,72.0,Project Manager,Manufacturing,Mass Customer,No,11.0,43.0,1980.0,1980 August,08,2444.0,New South Wales,8.0,1.0,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698.0,November,11.0,44,40-49
20,Male,72.0,Project Manager,Manufacturing,Mass Customer,No,11.0,43.0,1980.0,1980 August,08,2444.0,New South Wales,8.0,1.0,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0,November,11.0,48,40-49
20,Male,72.0,Project Manager,Manufacturing,Mass Customer,No,11.0,43.0,1980.0,1980 August,08,2444.0,New South Wales,8.0,0.0,WeareA2B,Standard,medium,medium,1762.96,950.52,42688.0,November,11.0,47,40-49
20,Male,72.0,Project Manager,Manufacturing,Mass Customer,No,11.0,43.0,1980.0,1980 August,08,2444.0,New South Wales,8.0,0.0,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499.0,June,6.0,23,40-49
21,Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,43.0,1980.0,1980 September,09,2650.0,New South Wales,7.0,1.0,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,August,8.0,33,40-49
21,Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,43.0,1980.0,1980 September,09,2650.0,New South Wales,7.0,0.0,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,October,10.0,42,40-49
21,Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,43.0,1980.0,1980 September,09,2650.0,New South Wales,7.0,0.0,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922.0,December,12.0,51,40-49
21,Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,43.0,1980.0,1980 September,09,2650.0,New South Wales,7.0,1.0,Giant Bicycles,Road,medium,medium,1538.99,829.65,36334.0,February,2.0,6,40-49
21,Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,43.0,1980.0,1980 September,09,2650.0,New South Wales,7.0,0.0,Norco Bicycles,Standard,high,small,1661.92,1479.11,34165.0,November,11.0,46,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,0.0,OHM Cycles,Standard,medium,medium,795.34,101.58,35707.0,December,12.0,50,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,1.0,OHM Cycles,Road,medium,medium,1280.28,829.51,39915.0,November,11.0,46,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,0.0,WeareA2B,Touring,medium,large,1362.99,57.74,38482.0,October,10.0,41,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,1.0,Giant Bicycles,Standard,high,medium,1274.93,764.96,39880.0,May,5.0,19,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,0.0,Solex,Standard,medium,medium,71.49,53.62,41167.0,January,1.0,4,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,0.0,OHM Cycles,Standard,high,medium,1458.17,874.9,39526.0,October,10.0,44,40-49
24,Female,55.0,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,45.0,1977.0,1977 December,12,2153.0,New South Wales,10.0,1.0,WeareA2B,Standard,low,medium,642.31,513.85,40553.0,October,10.0,40,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,OHM Cycles,Standard,medium,medium,795.34,101.58,42172.0,March,3.0,9,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991.0,May,5.0,21,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,Solex,Road,medium,medium,416.98,312.74,39526.0,September,9.0,36,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,0.0,WeareA2B,Standard,medium,medium,1292.84,13.44,42295.0,April,4.0,15,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,0.0,Solex,Standard,medium,medium,575.27,431.45,40670.0,November,11.0,47,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,0.0,OHM Cycles,Standard,high,medium,227.88,136.73,37838.0,September,9.0,37,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,0.0,Solex,Standard,medium,large,1061.56,733.58,36146.0,July,7.0,28,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,OHM Cycles,Standard,high,medium,227.88,136.73,38258.0,March,3.0,10,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,Norco Bicycles,Standard,medium,small,1216.14,1082.36,39031.0,April,4.0,13,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,WeareA2B,Standard,medium,medium,60.34,45.26,42696.0,February,2.0,6,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,Giant Bicycles,Standard,medium,large,1765.3,709.48,35455.0,December,12.0,52,40-49
25,Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,46.0,1976.0,1976 December,12,4413.0,QLD,3.0,1.0,Norco Bicycles,Road,medium,medium,544.05,376.84,37499.0,December,12.0,48,40-49
26,Female,12.0,Editor,Financial Services,Mass Customer,Yes,16.0,45.0,1978.0,1978 June,06,4740.0,QLD,5.0,1.0,WeareA2B,Road,low,small,1172.78,1043.77,38002.0,April,4.0,15,40-49
26,Female,12.0,Editor,Financial Services,Mass Customer,Yes,16.0,45.0,1978.0,1978 June,06,4740.0,QLD,5.0,1.0,OHM Cycles,Touring,low,medium,1073.07,933.84,35667.0,April,4.0,13,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,1.0,WeareA2B,Touring,medium,large,1890.39,260.14,42145.0,July,7.0,29,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,0.0,Solex,Standard,medium,large,202.62,151.96,42458.0,April,4.0,14,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,0.0,Solex,Standard,medium,medium,441.49,84.99,38991.0,July,7.0,30,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,1.0,WeareA2B,Standard,medium,small,1415.01,1259.36,36833.0,May,5.0,21,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,0.0,Norco Bicycles,Standard,low,medium,958.74,748.9,41345.0,June,6.0,24,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,0.0,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,August,8.0,32,40-49
27,Male,37.0,Research Nurse,Health,Mass Customer,Yes,12.0,45.0,1978.0,1978 September,09,3218.0,VIC,7.0,0.0,Norco Bicycles,Standard,medium,medium,1555.58,818.01,35455.0,July,7.0,29,40-49
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,50.0,1973.0,1973 September,09,4868.0,QLD,4.0,1.0,Solex,Standard,medium,medium,1483.2,99.59,33879.0,October,10.0,40,50-59
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,50.0,1973.0,1973 September,09,4868.0,QLD,4.0,1.0,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922.0,January,1.0,4,50-59
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,50.0,1973.0,1973 September,09,4868.0,QLD,4.0,1.0,Trek Bicycles,Standard,high,medium,495.72,297.43,34996.0,January,1.0,5,50-59
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,50.0,1973.0,1973 September,09,4868.0,QLD,4.0,1.0,OHM Cycles,Road,high,large,12.01,7.21,34244.0,July,7.0,29,50-59
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,50.0,1973.0,1973 September,09,4868.0,QLD,4.0,1.0,WeareA2B,Standard,medium,medium,1992.93,762.63,33888.0,April,4.0,16,50-59
28,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,50.0,1973.0,1973 September,09,4868.0,QLD,4.0,0.0,Norco Bicycles,Standard,high,medium,1148.64,689.18,38339.0,July,7.0,28,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,0.0,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,September,9.0,37,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,0.0,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,March,3.0,13,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,0.0,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,August,8.0,34,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,0.0,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,October,10.0,41,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,0.0,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,January,1.0,1,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,1.0,Solex,Standard,medium,medium,1577.53,826.51,40618.0,December,12.0,49,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,1.0,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,August,8.0,35,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,1.0,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,April,4.0,15,50-59
29,Female,62.0,Safety Technician III,Manufacturing,Mass Customer,No,19.0,55.0,1968.0,1968 June,06,4116.0,QLD,7.0,0.0,Solex,Standard,low,medium,1289.85,74.51,39427.0,January,1.0,4,50-59
31,Female,3.0,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,60.0,1962.0,1962 November,11,2135.0,New South Wales,12.0,1.0,OHM Cycles,Road,medium,medium,742.54,667.4,41701.0,May,5.0,21,60-69
31,Female,3.0,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,60.0,1962.0,1962 November,11,2135.0,New South Wales,12.0,0.0,Trek Bicycles,Road,low,small,1720.7,1531.42,41064.0,March,3.0,12,60-69
31,Female,3.0,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,60.0,1962.0,1962 November,11,2135.0,New South Wales,12.0,1.0,Solex,Standard,medium,medium,575.27,431.45,42404.0,July,7.0,28,60-69
31,Female,3.0,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,60.0,1962.0,1962 November,11,2135.0,New South Wales,12.0,1.0,Solex,Standard,medium,medium,71.49,53.62,38573.0,October,10.0,40,60-69
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,0.0,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,March,3.0,12,20-29
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,1.0,Solex,Standard,medium,large,1071.23,380.74,35160.0,April,4.0,15,20-29
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,0.0,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,August,8.0,33,20-29
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,0.0,Solex,Standard,medium,large,202.62,151.96,42458.0,May,5.0,19,20-29
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,0.0,Solex,Standard,medium,medium,1151.96,649.49,36498.0,January,1.0,2,20-29
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,1.0,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,June,6.0,22,20-29
32,Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,28.0,1995.0,1995 April,04,2756.0,New South Wales,9.0,0.0,Solex,Road,medium,small,1703.52,1516.13,40649.0,May,5.0,18,20-29
35,Female,40.0,Information Systems Manager,Health,High Net Worth,Yes,16.0,60.0,1963.0,1963 September,09,4127.0,QLD,6.0,0.0,Norco Bicycles,Road,medium,medium,1036.59,206.35,40553.0,March,3.0,13,60-69
35,Female,40.0,Information Systems Manager,Health,High Net Worth,Yes,16.0,60.0,1963.0,1963 September,09,4127.0,QLD,6.0,0.0,OHM Cycles,Standard,medium,medium,795.34,101.58,42710.0,June,6.0,25,60-69
35,Female,40.0,Information Systems Manager,Health,High Net Worth,Yes,16.0,60.0,1963.0,1963 September,09,4127.0,QLD,6.0,1.0,WeareA2B,Standard,medium,medium,1292.84,13.44,35667.0,March,3.0,13,60-69
35,Female,40.0,Information Systems Manager,Health,High Net Worth,Yes,16.0,60.0,1963.0,1963 September,09,4127.0,QLD,6.0,0.0,Trek Bicycles,Standard,low,medium,1057.51,154.4,35052.0,September,9.0,39,60-69
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,1.0,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,August,8.0,32,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,0.0,Solex,Standard,high,large,1842.92,1105.75,34996.0,October,10.0,41,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,1.0,Solex,Standard,medium,medium,478.16,298.72,34143.0,July,7.0,27,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,0.0,Norco Bicycles,Road,high,large,774.53,464.72,37698.0,May,5.0,18,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,0.0,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,September,9.0,37,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,0.0,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,May,5.0,18,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,1.0,Solex,Standard,low,medium,1289.85,74.51,39427.0,March,3.0,9,30-39
37,Female,46.0,Social Worker,Health,High Net Worth,No,16.0,37.0,1985.0,1985 December,12,4726.0,QLD,1.0,0.0,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,December,12.0,51,30-39
